Name,Price,Description,Category
Hand-Painted Ceramic Vase,45.99,"A beautifully hand-painted ceramic vase with intricate floral designs.",Home Decor
Wooden Carved Elephant,29.50,"A small wooden elephant intricately carved by skilled artisans.",Home Decor
Handwoven Cotton Scarf,22.00,"A soft and colorful handwoven scarf made from 100% cotton.",Apparel
Glass Bead Necklace,35.75,"A delicate necklace made from hand-strung glass beads.",Jewelry
Embroidered Cushion Cover,18.00,"A vibrant cushion cover with detailed hand embroidery.",Home Decor
Clay Pottery Bowl,25.00,"A handmade clay bowl perfect for serving or decoration.",Kitchenware
Silk Painted Wall Hanging,55.00,"A stunning wall hanging made from hand-painted silk fabric.",Home Decor
Leather Journal,40.00,"A hand-stitched leather journal with high-quality paper.",Stationery
Metallic Wind Chimes,32.50,"Handcrafted wind chimes made from metal with a soothing sound.",Home Decor
Woolen Knit Blanket,60.00,"A warm and cozy blanket hand-knitted from premium wool.",Home Decor
Bamboo Basket,18.50,"A sturdy and eco-friendly basket woven from natural bamboo.",Home Decor
Handmade Soap Set,15.00,"A set of fragrant handmade soaps with natural ingredients.",Bath & Beauty
Stone Carved Buddha,50.00,"A serene Buddha statue carved from natural stone.",Home Decor
Hand-Painted Mandala Art,42.00,"An intricate mandala art piece hand-painted on canvas.",Art
Fabric Patchwork Quilt,65.00,"A colorful quilt made from hand-stitched fabric patches.",Home Decor
Copper Jewelry Set,48.00,"A matching set of handmade copper necklace and earrings.",Jewelry
Ceramic Tea Set,75.00,"A complete tea set made from hand-painted ceramic.",Kitchenware
Beaded Bracelets,20.00,"A set of three handmade beaded bracelets in vibrant colors.",Jewelry
Handcrafted Wooden Coasters,15.00,"A set of four wooden coasters with unique hand-carved patterns.",Kitchenware
Knitted Wool Hat,25.00,"A cozy hat hand-knitted from soft wool.",Apparel
Hand-Embroidered Tablecloth,55.00,"A large tablecloth with exquisite hand embroidery.",Home Decor
Recycled Paper Notebook,12.50,"A notebook made from recycled paper with a hand-painted cover.",Stationery
Hand-Blown Glass Ornaments,30.00,"A set of three hand-blown glass ornaments.",Home Decor
Fabric Doll,20.00,"A cute handmade fabric doll with embroidered features.",Toys
Clay Sculpted Birdhouse,35.00,"A charming birdhouse sculpted from natural clay.",Home Decor
Hand-Painted Wooden Box,28.00,"A decorative wooden box with hand-painted designs.",Home Decor
Silk Embroidered Handbag,45.00,"A stylish handbag with intricate silk embroidery.",Apparel
Metal Forged Candle Holder,22.00,"A sturdy candle holder forged from metal.",Home Decor
Woven Jute Rug,40.00,"An eco-friendly rug woven from natural jute fibers.",Home Decor
Handmade Ceramic Mug,15.00,"A unique ceramic mug with hand-painted designs.",Kitchenware
Leather Wallet,35.00,"A durable wallet hand-stitched from genuine leather.",Apparel
Handwoven Wall Tapestry,60.00,"A large tapestry handwoven with colorful threads.",Home Decor
Stone Bead Anklet,20.00,"A delicate anklet made from hand-strung stone beads.",Jewelry
Handcrafted Wooden Picture Frame,25.00,"A picture frame made from polished wood with hand-carved details.",Home Decor
Embroidered Silk Pillowcase,30.00,"A luxurious pillowcase with hand-embroidered silk.",Home Decor
Clay Flower Pot,18.00,"A small flower pot sculpted from natural clay.",Home Decor
Hand-Painted Porcelain Plate,35.00,"A decorative plate made from hand-painted porcelain.",Kitchenware
Wool Felted Animal,22.00,"A cute animal figure felted from natural wool.",Toys
Bamboo Wind Chimes,28.00,"Eco-friendly wind chimes made from natural bamboo.",Home Decor
Handwoven Cotton Tote Bag,25.00,"A spacious tote bag handwoven from cotton.",Apparel
Beaded Earrings,15.00,"A pair of earrings made from hand-strung beads.",Jewelry
Handcrafted Soap Dish,20.00,"A soap dish carved from natural stone.",Bath & Beauty
Leather Keychain,12.00,"A durable keychain hand-stitched from leather.",Accessories
Fabric Wall Art,40.00,"A piece of wall art made from hand-stitched fabric.",Art
Hand-Painted Silk Scarf,45.00,"A luxurious scarf made from hand-painted silk.",Apparel
Ceramic Tile Coasters,25.00,"A set of four coasters made from hand-painted ceramic tiles.",Kitchenware
Wooden Hand-Carved Bowl,35.00,"A bowl made from hand-carved wood.",Kitchenware
Beaded Key Holder,18.00,"A key holder decorated with hand-strung beads.",Accessories
Hand-Embroidered Apron,28.00,"A kitchen apron with intricate hand embroidery.",Kitchenware
Knitted Cotton Socks,15.00,"A pair of socks hand-knitted from soft cotton.",Apparel
Stone Carved Coasters,22.00,"A set of four coasters carved from natural stone.",Kitchenware
Handwoven Wool Shawl,55.00,"A warm shawl handwoven from premium wool.",Apparel
Hand-Painted Ceramic Tiles,30.00,"A set of three decorative tiles hand-painted with intricate designs.",Home Decor
Leather Bookmark,8.00,"A bookmark hand-stitched from genuine leather.",Accessories
Fabric Handmade Notebook,20.00,"A notebook with a cover made from hand-stitched fabric.",Stationery
Wooden Carved Pendant,25.00,"A pendant made from hand-carved wood.",Jewelry
Embroidered Wall Hanging,50.00,"A large wall hanging with detailed hand embroidery.",Home Decor
Hand-Painted Glass Vase,38.00,"A decorative vase made from hand-painted glass.",Home Decor
Knitted Wool Scarf,35.00,"A warm scarf hand-knitted from soft wool.",Apparel
Handcrafted Wooden Pen,18.00,"A pen made from polished wood with hand-carved details.",Stationery
Clay Pottery Mug,15.00,"A unique mug sculpted from natural clay.",Kitchenware
Handwoven Jute Basket,22.00,"A basket woven from natural jute fibers.",Home Decor
Beaded Necklace,28.00,"A necklace made from hand-strung beads.",Jewelry
Hand-Painted Porcelain Bowl,32.00,"A bowl made from hand-painted porcelain.",Kitchenware
Fabric Quilted Throw,45.00,"A quilted throw made from hand-stitched fabric.",Home Decor
Wooden Hand-Carved Coasters,25.00,"A set of four coasters made from hand-carved wood.",Kitchenware
Embroidered Cotton Table Runner,35.00,"A table runner with intricate hand embroidery.",Home Decor
Handcrafted Ceramic Planter,30.00,"A planter made from hand-painted ceramic.",Home Decor
Knitted Woolen Mittens,20.00,"A pair of mittens hand-knitted from soft wool.",Apparel
Leather Hand-Stitched Belt,40.00,"A durable belt hand-stitched from genuine leather.",Apparel
Hand-Painted Glass Ornaments,28.00,"A set of three glass ornaments with hand-painted designs.",Home Decor
Woven Bamboo Placemat,15.00,"A placemat woven from natural bamboo fibers.",Kitchenware
Beaded Bracelet,18.00,"A bracelet made from hand-strung beads.",Jewelry
Handcrafted Wooden Tray,35.00,"A tray made from polished wood with hand-carved details.",Kitchenware
Clay Sculpted Figurine,25.00,"A small figurine sculpted from natural clay.",Home Decor
Embroidered Fabric Bookmark,10.00,"A bookmark made from fabric with hand embroidery.",Accessories
Leather Handmade Pouch,25.00,"A small pouch hand-stitched from leather.",Accessories
Hand-Painted Ceramic Dish,28.00,"A dish made from hand-painted ceramic.",Kitchenware
Knitted Cotton Blanket,55.00,"A cozy blanket hand-knitted from soft cotton.",Home Decor
Handwoven Wool Rug,65.00,"A rug handwoven from premium wool.",Home Decor
Glass Bead Earrings,15.00,"A pair of earrings made from hand-strung glass beads.",Jewelry
Wooden Carved Mask,45.00,"A decorative mask made from hand-carved wood.",Home Decor
Embroidered Silk Tablecloth,55.00,"A tablecloth with intricate silk embroidery.",Home Decor
Clay Pottery Candle Holder,20.00,"A candle holder sculpted from natural clay.",Home Decor
Hand-Painted Wooden Ornament,15.00,"A wooden ornament with hand-painted designs.",Home Decor
Fabric Patchwork Pillow,25.00,"A pillow made from hand-stitched fabric patches.",Home Decor
Leather Handcrafted Wallet,35.00,"A wallet hand-stitched from genuine leather.",Accessories
Stone Carved Trinket Box,30.00,"A trinket box carved from natural stone.",Home Decor
Knitted Woolen Socks,18.00,"A pair of socks hand-knitted from soft wool.",Apparel
Handwoven Cotton Blanket,50.00,"A blanket handwoven from 100% cotton.",Home Decor
Beaded Anklet,20.00,"An anklet made from hand-strung beads.",Jewelry
Hand-Painted Ceramic Figurine,35.00,"A figurine made from hand-painted ceramic.",Home Decor
Wooden Hand-Carved Jewelry Box,40.00,"A jewelry box made from polished wood with hand-carved details.",Home Decor
Embroidered Cotton Napkins,25.00,"A set of four napkins with intricate hand embroidery.",Kitchenware
Leather Handmade Journal,45.00,"A journal hand-stitched from leather with high-quality paper.",Stationery
Handcrafted Ceramic Bowl,28.00,"A bowl made from hand-painted ceramic.",Kitchenware
Knitted Woolen Hat,22.00,"A hat hand-knitted from soft wool.",Apparel
Handwoven Bamboo Basket,30.00,"A basket woven from natural bamboo fibers.",Home Decor
Beaded Necklace and Bracelet Set,40.00,"A matching set of necklace and bracelet made from hand-strung beads.",Jewelry
